race_year,race_place_id,race_kai,race_nichi,race_round,race_month,race_date
1986,1,1,1,1,6,7
1986,1,1,1,2,6,7
1986,1,1,1,3,6,7
1986,1,1,1,4,6,7
1986,1,1,1,5,6,7
1986,1,1,1,6,6,7
1986,1,1,1,7,6,7
1986,1,1,1,8,6,7
1986,1,1,1,9,6,7
1986,1,1,1,10,6,7
1986,1,1,2,1,6,8
1986,1,1,2,2,6,8
1986,1,1,2,3,6,8
1986,1,1,2,4,6,8
1986,1,1,2,5,6,8
1986,1,1,2,6,6,8
1986,1,1,2,7,6,8
1986,1,1,2,8,6,8
1986,1,1,2,9,6,8
1986,1,1,3,1,6,14
1986,1,1,3,2,6,14
1986,1,1,3,3,6,14
1986,1,1,3,4,6,14
1986,1,1,3,5,6,14
1986,1,1,3,6,6,14
1986,1,1,3,7,6,14
1986,1,1,3,8,6,14
1986,1,1,3,9,6,14
1986,1,1,4,1,6,15
1986,1,1,4,2,6,15
1986,1,1,4,3,6,15
1986,1,1,4,4,6,15
1986,1,1,4,5,6,15
1986,1,1,4,6,6,15
1986,1,1,4,7,6,15
1986,1,1,4,8,6,15
1986,1,1,4,9,6,15
1986,1,1,5,1,6,21
1986,1,1,5,2,6,21
1986,1,1,5,3,6,21
1986,1,1,5,4,6,21
1986,1,1,5,5,6,21
1986,1,1,5,6,6,21
1986,1,1,5,7,6,21
1986,1,1,5,8,6,21
1986,1,1,5,9,6,21
1986,1,1,6,1,6,22
1986,1,1,6,2,6,22
1986,1,1,6,3,6,22
1986,1,1,6,4,6,22
1986,1,1,6,5,6,22
1986,1,1,6,6,6,22
1986,1,1,6,7,6,22
1986,1,1,6,8,6,22
1986,1,1,6,9,6,22
1986,1,1,7,1,6,28
1986,1,1,7,2,6,28
1986,1,1,7,3,6,28
1986,1,1,7,4,6,28
1986,1,1,7,5,6,28
1986,1,1,7,6,6,28
1986,1,1,7,7,6,28
1986,1,1,7,8,6,28
1986,1,1,7,9,6,28
1986,1,1,8,1,6,29
1986,1,1,8,2,6,29
1986,1,1,8,3,6,29
1986,1,1,8,4,6,29
1986,1,1,8,5,6,29
1986,1,1,8,6,6,29
1986,1,1,8,7,6,29
1986,1,1,8,8,6,29
1986,1,1,8,9,6,29
1986,1,1,8,10,6,29
1986,1,2,1,1,7,5
1986,1,2,1,2,7,5
1986,1,2,1,3,7,5
1986,1,2,1,4,7,5
1986,1,2,1,5,7,5
1986,1,2,1,6,7,5
1986,1,2,1,7,7,5
1986,1,2,1,8,7,5
1986,1,2,1,9,7,5
1986,1,2,1,10,7,5
1986,1,2,1,11,7,5
1986,1,2,2,1,7,6
1986,1,2,2,2,7,6
1986,1,2,2,3,7,6
1986,1,2,2,4,7,6
1986,1,2,2,5,7,6
1986,1,2,2,6,7,6
1986,1,2,2,7,7,6
1986,1,2,2,8,7,6
1986,1,2,2,9,7,6
1986,1,2,2,10,7,6
1986,1,2,2,11,7,6
1986,1,2,3,1,7,12
1986,1,2,3,2,7,12
1986,1,2,3,3,7,12
1986,1,2,3,4,7,12
1986,1,2,3,5,7,12
1986,1,2,3,6,7,12
1986,1,2,3,7,7,12
1986,1,2,3,8,7,12
1986,1,2,3,9,7,12
1986,1,2,3,10,7,12
1986,1,2,4,1,7,13
1986,1,2,4,2,7,13
1986,1,2,4,3,7,13
1986,1,2,4,4,7,13
1986,1,2,4,5,7,13
1986,1,2,4,6,7,13
1986,1,2,4,7,7,13
1986,1,2,4,8,7,13
1986,1,2,4,9,7,13
1986,1,2,4,10,7,13
